SMPDB ID,Pathway Name,Pathway Subject,Metabolite ID,Metabolite Name,HMDB ID,KEGG ID,ChEBI ID,DrugBank ID,CAS,Formula,IUPAC,SMILES,InChI,InChI Key
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C001144,NADH,HMDB0001487,C00004,16908,DB00157,58-68-4,C21H29N7O14P2,"[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]({[(2R,3S,4R,5R)-5-(3-carbamoyl-1,4-dihydropyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy})phosphinic acid",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",BOPGDPNILDQYTO-NNYOXOHSSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C040034,Hydrogen Ion,HMDB0059597,C00080,15378,,,H,hydron,[H+],InChI=1S/p+1,GPRLSGONYQIRFK-UHFFFAOYSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C001134,Dihydroxyacetone phosphate,HMDB0001473,C00111,16108,DB04326,57-04-5,C3H7O6P,(3-hydroxy-2-oxopropoxy)phosphonic acid,OCC(=O)COP(O)(O)=O,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)",GNGACRATGGDKBX-UHFFFAOYSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C000721,NAD,HMDB0000902,C00003,15846,,53-84-9,C21H28N7O14P2,"1-[(2R,3R,4S,5R)-5-[({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)methyl]-3,4-dihydroxyoxolan-2-yl]-3-carbamoyl-1λ⁵-pyridin-1-ylium",NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",BAWFJGJZGIEFAR-NNYOXOHSSA-O
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C000081,Glycerol 3-phosphate,HMDB0000126,C00093,15978,DB02515,17989-41-2,C3H9O6P,"[(2R)-2,3-dihydroxypropoxy]phosphonic acid",OC[C@@H](O)COP(O)(O)=O,"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-/m1/s1",AWUCVROLDVIAJX-GSVOUGTGSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C002742,Decanoyl-CoA,HMDB0006404,C05274,28493,,1264-57-9,C31H54N7O17P3S,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-2-[({[({3-[(2-{[2-(decanoylsulfanyl)ethyl]carbamoyl}ethyl)carbamoyl]-3-hydroxy-2,2-dimethylpropoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)methyl]-4-hydroxyoxolan-3-yl]oxy}phosphonic acid",CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,"InChI=1S/C31H54N7O17P3S/c1-4-5-6-7-8-9-10-11-22(40)59-15-14-33-21(39)12-13-34-29(43)26(42)31(2,3)17-52-58(49,50)55-57(47,48)51-16-20-25(54-56(44,45)46)24(41)30(53-20)38-19-37-23-27(32)35-18-36-28(23)38/h18-20,24-26,30,41-42H,4-17H2,1-3H3,(H,33,39)(H,34,43)(H,47,48)(H,49,50)(H2,32,35,36)(H2,44,45,46)/t20-,24-,25-,26?,30-/m1/s1",CNKJPHSEFDPYDB-BOJFXZHGSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C001099,Coenzyme A,HMDB0001423,C00010,1146900,,85-61-0,C21H36N7O16P3S,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[hydroxy({hydroxy[(3R)-3-hydroxy-2,2-dimethyl-3-({2-[(2-sulfanylethyl)carbamoyl]ethyl}carbamoyl)propoxy]phosphoryl}oxy)phosphoryl]oxy}methyl)oxolan-3-yl]oxy}phosphonic acid",CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1",RGJOEKWQDUBAIZ-IBOSZNHHSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C055362,LPA(10:0/0:0),,C00681,16975,,,C13H27O7P,[3-(decanoyloxy)-2-hydroxypropoxy]phosphonic acid,CCCCCCCCCC(=O)OCC(O)COP(O)(O)=O,"InChI=1S/C13H27O7P/c1-2-3-4-5-6-7-8-9-13(15)19-10-12(14)11-20-21(16,17)18/h12,14H,2-11H2,1H3,(H2,16,17,18)",CMQAWGIRCVKCMC-UHFFFAOYSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C001031,Palmityl-CoA,HMDB0001338,C00154,15525,,1763-10-6,C37H66N7O17P3S,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-2-[({[({3-[(2-{[2-(hexadecanoylsulfanyl)ethyl]carbamoyl}ethyl)carbamoyl]-3-hydroxy-2,2-dimethylpropoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)methyl]-4-hydroxyoxolan-3-yl]oxy}phosphonic acid",CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,"InChI=1S/C37H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-28(46)65-21-20-39-27(45)18-19-40-35(49)32(48)37(2,3)23-58-64(55,56)61-63(53,54)57-22-26-31(60-62(50,51)52)30(47)36(59-26)44-25-43-29-33(38)41-24-42-34(29)44/h24-26,30-32,36,47-48H,4-23H2,1-3H3,(H,39,45)(H,40,49)(H,53,54)(H,55,56)(H2,38,41,42)(H2,50,51,52)/t26-,30-,31-,32?,36-/m1/s1",MNBKLUUYKPBKDU-TZIIWEFPSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C055516,PA(10:0/16:0),,C00416,16337,,,C29H57O8P,[(2R)-3-(decanoyloxy)-2-(hexadecanoyloxy)propoxy]phosphonic acid,[H][C@@](COC(=O)CCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C29H57O8P/c1-3-5-7-9-11-12-13-14-15-16-18-20-22-24-29(31)37-27(26-36-38(32,33)34)25-35-28(30)23-21-19-17-10-8-6-4-2/h27H,3-26H2,1-2H3,(H2,32,33,34)/t27-/m1/s1",NLQXWVJAJKESAP-HHHXNRCGSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C001420,Water,HMDB0002111,C00001,15377,,7732-18-5,H2O,water,O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C043347,DG(10:0/16:0/0:0),HMDB0092983,C00165,,,,C29H56O5,(2S)-1-(decanoyloxy)-3-hydroxypropan-2-yl hexadecanoate,[H][C@](CO)(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C29H56O5/c1-3-5-7-9-11-12-13-14-15-16-18-20-22-24-29(32)34-27(25-30)26-33-28(31)23-21-19-17-10-8-6-4-2/h27,30H,3-26H2,1-2H3/t27-/m0/s1",AIUQYOVIFVJROH-MHZLTWQESA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C001104,Phosphate,HMDB0001429,C00009,18367,"",14265-44-2,O4P,phosphate,[O-]P([O-])([O-])=O,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3",NBIIXXVUZAFLBC-UHFFFAOYSA-K
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C000871,Stearoyl-CoA,HMDB0001114,C00412,15541,,362-66-3,C39H70N7O17P3S,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[hydroxy({hydroxy[(3R)-3-hydroxy-2,2-dimethyl-3-[(2-{[2-(octadecanoylsulfanyl)ethyl]carbamoyl}ethyl)carbamoyl]propoxy]phosphoryl}oxy)phosphoryl]oxy}methyl)oxolan-3-yl]oxy}phosphonic acid",CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,"InChI=1S/C39H70N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h26-28,32-34,38,49-50H,4-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/t28-,32-,33-,34+,38-/m1/s1",SIARJEKBADXQJG-LFZQUHGESA-N
SMP0026822,De Novo Triacylglycerol Biosynthesis TG(10:0/16:0/18:0),Metabolic,PW_C057232,TG(10:0/16:0/18:0),HMDB0072184,,,,,C47H90O6,(2S)-3-(decanoyloxy)-2-(hexadecanoyloxy)propyl octadecanoate,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C47H90O6/c1-4-7-10-13-16-18-20-22-23-25-26-28-31-34-37-40-46(49)52-43-44(42-51-45(48)39-36-33-30-15-12-9-6-3)53-47(50)41-38-35-32-29-27-24-21-19-17-14-11-8-5-2/h44H,4-43H2,1-3H3/t44-/m0/s1",VUQYTZSZJWGZGG-SJARJILFSA-N
